Bond,Dobs,Dobs2,stdev,Number,B,X
Ag-Br,2.89,0,0,0,Ag,Br
Ag-Cl,2.77,0,0,0,Ag,Cl
K-Br,3.32,0,0,0,K,Br
K-Cl,3.17,0,0,0,K,Cl
K-I,3.55,0,0,0,K,I
Li-Br,2.75,0,0,0,Li,Br
Li-Cl,2.57,0,0,0,Li,Cl
Li-I,3.01,0,0,0,Li,I
Na-Br,2.99,0,0,0,Na,Br
Na-Cl,2.84,0,0,0,Na,Cl
Na-I,3.24,0,0,0,Na,I
Tl-Br,3.3,0,0,0,Tl,Br
Tl-Cl,3.16,0,0,0,Tl,Cl
Tl-I,3.47,0,0,0,Tl,I
Ca-Br,2.86,0,0,2,Ca,Br
Ca-Cl,2.73,0,0,2,Ca,Cl
Ca-F,2.28,0,0.05,57,Ca,F
Ca-I,3.12,0,0.02,3,Ca,I
Cd-Br,2.7,0,0.03,11,Cd,Br
Cd-Cl,2.6,0,0.04,12,Cd,Cl
Cd-F,2.2,0,0.1,27,Cd,F
Cd-I,3.01,0,0.03,4,Cd,I
Cr-Br,2.68,0,0,1,Cr,Br
Cr-Cl,2.53,0,0,2,Cr,Cl
Cr-F,2.1,0,0.01,3,Cr,F
Cr-I,2.88,0,0.04,4,Cr,I
Fe-Br,2.6,0,0.04,7,Fe,Br
Fe-Cl,2.4,0,0,2,Fe,Cl
Fe-F,2.08,0,0.04,9,Fe,F
Fe-I,2.88,0,0,2,Fe,I
Ge-I,2.97,0,0.07,4,Ge,I
Hg-Br,2.7,0,0,2,Hg,Br
Hg-Cl,2.6,0,0.3,3,Hg,Cl
Hg-F,2.22,0,0.07,6,Hg,F
Hg-I,2.8,0,0.1,4,Hg,I
Mg-Br,2.6,0,0.02,8,Mg,Br
Mg-Cl,2.4,0,0.04,22,Mg,Cl
Mg-F,1.98,0,0.04,143,Mg,F
Mg-I,2.93,0,0,2,Mg,I
Mn-Br,2.68,0,0.04,11,Mn,Br
Mn-Cl,2.54,0,0.02,15,Mn,Cl
Mn-F,2.11,0,0.01,20,Mn,F
Mn-I,2.92,0,0,3,Mn,I
Ni-Br,2.54,0,0.03,5,Ni,Br
Ni-Cl,2.4,0,0.01,13,Ni,Cl
Ni-F,1.99,0,0.04,53,Ni,F
Ni-I,2.77,0,0,2,Ni,I
Pb-Br,2.9,0,0.06,4,Pb,Br
Pb-Cl,2.71,0,0.1,6,Pb,Cl
Pb-F,2.43,0,0.03,9,Pb,F
Pb-I,3.23,0,0.06,10,Pb,I
Sm-Cl,2.8,0,0,1,Sm,Cl
Sm-F,2.48,0,0,2,Sm,F
Sm-I,3.31,0,0,1,Sm,I
Sn-I,3.17,0,0.05,7,Sn,I
Ti-Br,2.6,0,0.03,7,Ti,Br
Ti-Cl,2.5,0,0.02,11,Ti,Cl
Ti-I,2.86,0,0.04,3,Ti,I
Tm-Cl,2.7,0,0,1,Tm,Cl
Tm-I,3.15,0,0.006,3,Tm,I
V-Br,2.65,0,0.02,3,V,Br
V-Cl,2.51,0,0.02,9,V,Cl
V-F,2.06,0,0.05,17,V,F
V-I,2.88,0,0.03,3,V,I
Yb-Br,2.84,0,0.07,3,Yb,Br
Yb-Cl,2.67,0,0.07,3,Yb,Cl
Yb-F,2.33,0,0.06,4,Yb,F
Yb-I,3.12,0,0.02,4,Yb,I
Yb-I,3.13,0,0.02,4,Yb,I
Bi-Br,2.85,0,0,0,Bi,Br
Bi-Cl,2.68,0,0,0,Bi,Cl
Bi-I,3.08,0,0,0,Bi,I
In-Br,2.66,0,0,0,In,Br
In-Cl,2.53,0,0,0,In,Cl
Sb-Br,2.86,0,0,0,Sb,Br
Sb-Cl,2.66,0,0,0,Sb,Cl
Sb-I,3.03,0,0,0,Sb,I
Tl-Cl,2.53,0,0,0,Tl,Cl
Pt-Br,2.46,0,0,0,Pt,Br
Pt-Cl,2.34,0,0,0,Pt,Cl
Pt-I,2.67,0,0,0,Pt,I
Sn-Cl,2.42,0,0,0,Sn,Cl
Sn-I,2.85,0,0,0,Sn,I
Te-Br,2.7,0,0,0,Te,Br
Te-Cl,2.51,0,0,0,Te,Cl
Te-I,2.93,0,0,0,Te,I
Zr-Cl,2.45,0,0,0,Zr,Cl
Cr(II)-Cl,2.43,2.57,,,Cr,Cl
